tconst,titleType,averageRating,numVotes
tt0002130,movie,7.0,3485
tt0002844,movie,6.9,2494
tt0003419,movie,6.4,2415
tt0003740,movie,7.1,3967
tt0004707,movie,6.3,3732
tt0004972,movie,6.1,26408
tt0005078,movie,6.5,2807
tt0006206,movie,7.3,5444
tt0006333,movie,6.1,2004
tt0006864,movie,7.7,16763
tt0008663,movie,7.3,2333
tt0008879,movie,7.2,2096
tt0009893,movie,7.2,2172
tt0009968,movie,7.2,11084
tt0010307,movie,7.7,2067
tt0010323,movie,8.0,70274
tt0010600,movie,7.4,2374
tt0011130,movie,6.9,6063
tt0011237,movie,7.2,8566
tt0011439,movie,7.1,2796
tt0011565,movie,7.3,2640
tt0011841,movie,7.3,5907
tt0011870,movie,6.4,3645
tt0012190,movie,7.1,3555
tt0012349,movie,8.2,135221
tt0012364,movie,8.0,14147
tt0012494,movie,7.6,6718
tt0012532,movie,7.3,5488
tt0012651,movie,6.1,2071
tt0012675,movie,6.2,3674
tt0012938,movie,6.7,2404
tt0013086,movie,7.8,9200
tt0013140,movie,7.0,4043
tt0013201,movie,7.0,2061
tt0013257,movie,7.6,16808
tt0013427,movie,7.6,13489
tt0013442,movie,7.9,105759
tt0013556,movie,7.0,2493
tt0014142,movie,7.2,6128
tt0014341,movie,7.8,12513
tt0014358,movie,7.2,5698
tt0014417,movie,7.5,2570
tt0014429,movie,8.1,22994
tt0014532,movie,6.8,2673
tt0014538,movie,7.0,5223
tt0014586,movie,6.6,2319
tt0014611,movie,7.3,2063
tt0014624,movie,6.9,6204
tt0014646,movie,6.4,2894
tt0014945,movie,7.7,3674
tt0014972,movie,7.8,4312
tt0015016,movie,7.2,2456
tt0015064,movie,8.0,15244
tt0015136,movie,7.1,2048
tt0015163,movie,7.6,11089
tt0015174,movie,7.9,5012
tt0015175,movie,8.1,6576
tt0015202,movie,7.0,3400
tt0015324,movie,8.2,57327
tt0015361,movie,7.6,8653
tt0015400,movie,7.7,6998
tt0015532,movie,7.8,6915
tt0015624,movie,7.9,7309
tt0015648,movie,7.9,61576
tt0015768,movie,7.0,2379
tt0015772,movie,6.6,2280
tt0015841,movie,7.5,6081
tt0015863,movie,7.1,5023
tt0015864,movie,8.1,118956
tt0015881,movie,8.0,10794
tt0016039,movie,7.0,5851
tt0016104,movie,7.2,2582
tt0016220,movie,7.5,20157
tt0016230,movie,5.8,2894
tt0016332,movie,7.8,11767
tt0016473,movie,7.2,2223
tt0016630,movie,7.0,3909
tt0016641,movie,7.8,7988
tt0016654,movie,7.0,2149
tt0016847,movie,8.1,16677
tt0016884,movie,7.6,4642
tt0017048,movie,7.4,4592
tt0017075,movie,7.3,13443
tt0017128,movie,7.4,3079
tt0017136,movie,8.3,185978
tt0017416,movie,6.6,2132
tt0017448,movie,7.1,2716
tt0017668,movie,7.6,4804
tt0017739,movie,7.1,3393
tt0017765,movie,6.9,5488
tt0017825,movie,6.0,3074
tt0017843,movie,5.5,3068
tt0017925,movie,8.1,98429
tt0018033,movie,7.2,3592
tt0018037,movie,6.4,11115
tt0018051,movie,7.6,4843
tt0018054,movie,7.4,2425
tt0018192,movie,8.2,8834
tt0018217,movie,7.4,8478
tt0018328,movie,6.1,3952
tt0018379,movie,7.6,4185
tt0018455,movie,8.1,53950
tt0018526,movie,7.5,3491
tt0018528,movie,7.7,9202
tt0018578,movie,7.5,14593
tt0018737,movie,7.8,11891
tt0018742,movie,8.0,13228
tt0018756,movie,5.4,2692
tt0018770,movie,7.3,4525
tt0018773,movie,8.1,36160
tt0018806,movie,8.1,9203
tt0018839,movie,7.5,5050
tt0018876,movie,5.8,3135
tt0019071,movie,7.9,4541
tt0019074,movie,7.5,2153
tt0019109,movie,7.7,2617
tt0019130,movie,7.6,8109
tt0019254,movie,8.1,60896
tt0019258,movie,7.5,2783
tt0019286,movie,7.0,2319
tt0019344,movie,7.2,2830
tt0019379,movie,7.6,4013
tt0019412,movie,7.6,4294
tt0019415,movie,7.5,3958
tt0019421,movie,7.8,16220
tt0019429,movie,7.3,2576
tt0019585,movie,8.0,7181
tt0019649,movie,7.1,2343
tt0019702,movie,6.9,12039
tt0019729,movie,5.6,8039
tt0019760,movie,8.3,28074
tt0019777,movie,6.8,8221
tt0019788,movie,5.5,2321
tt0019901,movie,7.2,3874
tt0019959,movie,6.7,2001
tt0019993,movie,5.7,2264
tt0020112,movie,7.0,2627
tt0020142,movie,6.2,3288
tt0020163,movie,7.3,3558
tt0020298,movie,7.1,3370
tt0020442,movie,6.9,2510
tt0020475,movie,7.8,4830
tt0020629,movie,8.1,67845
tt0020640,movie,7.4,15299
tt0020641,movie,6.6,3515
tt0020686,movie,7.1,2602
tt0020691,movie,7.2,4472
tt0020697,movie,7.7,16332
tt0020768,movie,7.7,3740
tt0020815,movie,7.1,2042
tt0020827,movie,6.7,3666
tt0020960,movie,7.3,5989
tt0021015,movie,4.6,2542
tt0021079,movie,7.2,14588
tt0021156,movie,7.0,7503
tt0021165,movie,6.3,6973
tt0021331,movie,7.3,7397
tt0021409,movie,7.1,2496
tt0021542,movie,7.4,2433
tt0021571,movie,7.2,6423
tt0021577,movie,7.2,14843
tt0021622,movie,6.2,2006
tt0021673,movie,7.1,2331
tt0021730,movie,7.2,3638
tt0021739,movie,7.5,4849
tt0021746,movie,5.8,6960
tt0021749,movie,8.5,196561
tt0021800,movie,7.2,3203
tt0021814,movie,7.4,58819
tt0021815,movie,7.0,5116
tt0021818,movie,7.2,2548
tt0021873,movie,7.3,2542
tt0021884,movie,7.8,79966
tt0021885,movie,6.6,2940
tt0021890,movie,6.7,3464
tt0022074,movie,7.1,4125
tt0022080,movie,7.0,2896
tt0022100,movie,8.3,168928
tt0022111,movie,6.8,3357
tt0022125,movie,7.8,2576
tt0022150,movie,7.3,3850
tt0022153,movie,7.2,2267
tt0022158,movie,7.4,14300
tt0022183,movie,7.6,3759
tt0022208,movie,7.0,4504
tt0022251,movie,6.8,2829
tt0022268,movie,6.8,3467
tt0022276,movie,6.9,2339
tt0022286,movie,7.6,23085
tt0022335,movie,6.9,2053
tt0022395,movie,5.7,3573
tt0022403,movie,6.8,2244
tt0022436,movie,7.6,2057
tt0022454,movie,6.8,2510
tt0022458,movie,7.4,6404
tt0022550,movie,7.4,3173
tt0022599,movie,7.4,4979
tt0022626,movie,7.4,2268
tt0022698,movie,7.1,5651
tt0022718,movie,7.2,6222
tt0022827,movie,6.4,4278
tt0022835,movie,7.6,15874
tt0022867,movie,6.6,2792
tt0022879,movie,6.4,6862
tt0022913,movie,7.8,50744
tt0022958,movie,7.3,20926
tt0023027,movie,7.5,13419
tt0023042,movie,8.2,14483
tt0023049,movie,6.9,2313
tt0023074,movie,7.2,2612
tt0023158,movie,7.5,4640
tt0023194,movie,6.2,3733
tt0023196,movie,6.6,3961
tt0023238,movie,7.1,14063
tt0023245,movie,7.0,30242
tt0023249,movie,6.3,5288
tt0023285,movie,5.7,5455
tt0023293,movie,7.0,13151
tt0023303,movie,7.1,2929
tt0023305,movie,7.5,4458
tt0023312,movie,7.2,2672
tt0023369,movie,6.9,3047
tt0023382,movie,7.2,4944
tt0023385,movie,7.0,3547
tt0023395,movie,5.7,4935
tt0023427,movie,7.7,30419
tt0023458,movie,7.3,10402
tt0023470,movie,6.8,2714
tt0023551,movie,6.9,8239
tt0023563,movie,7.9,13631
tt0023590,movie,7.1,4409
tt0023622,movie,7.9,16245
tt0023634,movie,7.9,6234
tt0023649,movie,7.4,20586
tt0023686,movie,7.0,2593
tt0023694,movie,6.2,11683
tt0023731,movie,6.8,2964
tt0023753,movie,6.3,2626
tt0023775,movie,7.5,8190
tt0023814,movie,6.9,4324
tt0023825,movie,7.1,3158
tt0023876,movie,5.8,6008
tt0023926,movie,6.8,2695
tt0023940,movie,7.4,7792
tt0023943,movie,7.1,2097
tt0023948,movie,7.5,9053
tt0023969,movie,7.7,62817
tt0024025,movie,6.6,4039
tt0024028,movie,7.5,6108
tt0024034,movie,7.3,13066
tt0024055,movie,5.8,3264
tt0024069,movie,7.7,9171
tt0024115,movie,7.4,2522
tt0024166,movie,6.9,3992
tt0024184,movie,7.6,40106
tt0024188,movie,7.4,10962
tt0024210,movie,6.9,4096
tt0024216,movie,7.9,91217
tt0024240,movie,7.4,4676
tt0024264,movie,7.2,7948
tt0024353,movie,6.4,3290
tt0024368,movie,6.8,6849
tt0024473,movie,7.0,4880
tt0024481,movie,7.5,8645
tt0024548,movie,6.3,7061
tt0024593,movie,5.6,5318
tt0024601,movie,7.5,9607
tt0024727,movie,5.7,3061
tt0024772,movie,7.5,2364
tt0024803,movie,7.2,9390
tt0024844,movie,7.7,17521
tt0024852,movie,7.1,7575
tt0024865,movie,6.9,2135
tt0024894,movie,6.9,13042
tt0024914,movie,7.2,2472
tt0024968,movie,6.9,2175
tt0024991,movie,6.8,4632
tt0025004,movie,7.4,3255
tt0025028,movie,7.0,2438
tt0025037,movie,6.9,2424
tt0025101,movie,6.6,2020
tt0025164,movie,7.4,8668
tt0025301,movie,7.5,5662
tt0025316,movie,8.1,112617
tt0025318,movie,7.1,5769
tt0025330,movie,6.6,2040
tt0025335,movie,6.2,2527
tt0025423,movie,6.8,3613
tt0025452,movie,6.7,21242
tt0025456,movie,7.2,2330
tt0025464,movie,7.1,4814
tt0025465,movie,3.7,2708
tt0025493,movie,7.2,3268
tt0025586,movie,7.0,8413
tt0025610,movie,7.0,2203
tt0025746,movie,7.5,7252
tt0025748,movie,7.3,4781
tt0025862,movie,7.2,5580
tt0025878,movie,7.9,32635
tt0025898,movie,7.2,2095
tt0025907,movie,7.1,3177
tt0025913,movie,7.1,18369
tt0025919,movie,7.3,7269
tt0025929,movie,7.7,3481
tt0026029,movie,7.6,61691
tt0026056,movie,6.9,4577
tt0026071,movie,7.0,5811
